"Designator","Value","Datasheet","Footprint","Qty","DNP","LCSC Part Number"
"C2,C3,C11,C12,C13","100nF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","5","","C49678"
"C4","68nF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1","","C107159"
"C5","4.7nF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1","","C1744"
"C8,C9","1uF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","2","","C28323"
"C10","10uF","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","1","","C440198"
"D1,D2","APA102","https://cdn-shop.adafruit.com/product-files/2343/APA102C.pdf","LED_SMD:LED_RGB_5050-6","2","","C5378730"
"D3,D4","NCD0805R1","~","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","2","","C17471"
"FB1","FerriteBead","~","Inductor_SMD:L_0805_2012Metric_Pad1.05x1.20mm_HandSolder","1","","C85840"
"R1,R2","150","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2","","C17471"
"R3","0","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1","","C98220"
"R4,R5,R6,R7,R8","10k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","5","","C149504,C17414"
"R9,R10","4.7k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2","","C17673"
"R12","680","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1","","C156168"
"R14","33","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","1","","C17634"
"R20,R21","100k","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","2","","C149504"
"TP9","5016","","Connector:KEYSTONE_5016","1","",""
"U2","74LVC157","http://www.ti.com/lit/gpn/sn74LS157","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","1","","C7664"
"U3","PCM1862DBT","https://www.ti.com/lit/ds/symlink/pcm1862.pdf","PCM1862DBT:DBT0030A_N","1","","C544647"
"U5","DIR9001PW","https://www.ti.com/lit/gpn/dir9001","DIR9001_newfoot:PW28-M","1","","C96215"
"Y3","XO32","http://cdn-reichelt.de/documents/datenblatt/B400/XO32.pdf","Oscillator:Oscillator_SMD_EuroQuartz_XO32-4Pin_3.2x2.5mm","1","","C6159263"
